"idVotacao";"uriVotacao";"siglaOrgao";"descricao";"siglaBancada";"uriBancada";"orientacao"
"2334095-28";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2334095-28";"CESUBCRE";"Aprovado o Parecer, com complementação de voto, ressalvados os destaques. Sim: 4; Não: 1; Abstenção: 0; e Quórum de Votação: 5. Obstrução: 0; e Total de Votantes: 5";"UNIÃO";"https://dadosabertos.camara.leg.br/api/v2/partidos/38009";"Sim"
"2334095-28";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2334095-28";"CESUBCRE";"Aprovado o Parecer, com complementação de voto, ressalvados os destaques. Sim: 4; Não: 1; Abstenção: 0; e Quórum de Votação: 5. Obstrução: 0; e Total de Votantes: 5";"REPUBLICANOS";"";"Sim"
"2334095-28";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2334095-28";"CESUBCRE";"Aprovado o Parecer, com complementação de voto, ressalvados os destaques. Sim: 4; Não: 1; Abstenção: 0; e Quórum de Votação: 5. Obstrução: 0; e Total de Votantes: 5";"PP";"https://dadosabertos.camara.leg.br/api/v2/partidos/37903";"Sim"
"2334095-28";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2334095-28";"CESUBCRE";"Aprovado o Parecer, com complementação de voto, ressalvados os destaques. Sim: 4; Não: 1; Abstenção: 0; e Quórum de Votação: 5. Obstrução: 0; e Total de Votantes: 5";"PT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36844";"Sim"
"2334095-28";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2334095-28";"CESUBCRE";"Aprovado o Parecer, com complementação de voto, ressalvados os destaques. Sim: 4; Não: 1; Abstenção: 0; e Quórum de Votação: 5. Obstrução: 0; e Total de Votantes: 5";"MDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36899";"Sim"
"2334095-28";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2334095-28";"CESUBCRE";"Aprovado o Parecer, com complementação de voto, ressalvados os destaques. Sim: 4; Não: 1; Abstenção: 0; e Quórum de Votação: 5. Obstrução: 0; e Total de Votantes: 5";"PL";"https://dadosabertos.camara.leg.br/api/v2/partidos/37906";"Sim"
"2334095-28";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2334095-28";"CESUBCRE";"Aprovado o Parecer, com complementação de voto, ressalvados os destaques. Sim: 4; Não: 1; Abstenção: 0; e Quórum de Votação: 5. Obstrução: 0; e Total de Votantes: 5";"PCdoB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36779";"Sim"
"2334095-28";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2334095-28";"CESUBCRE";"Aprovado o Parecer, com complementação de voto, ressalvados os destaques. Sim: 4; Não: 1; Abstenção: 0; e Quórum de Votação: 5. Obstrução: 0; e Total de Votantes: 5";"Minoria";"";"Sim"
"2334095-28";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2334095-28";"CESUBCRE";"Aprovado o Parecer, com complementação de voto, ressalvados os destaques. Sim: 4; Não: 1; Abstenção: 0; e Quórum de Votação: 5. Obstrução: 0; e Total de Votantes: 5";"NOVO";"https://dadosabertos.camara.leg.br/api/v2/partidos/37901";"Não"
"2334095-28";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2334095-28";"CESUBCRE";"Aprovado o Parecer, com complementação de voto, ressalvados os destaques. Sim: 4; Não: 1; Abstenção: 0; e Quórum de Votação: 5. Obstrução: 0; e Total de Votantes: 5";"PSB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36832";"Sim"
"2334096-19";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2334096-19";"CESUBCRE";"Aprovado o Requerimento. Sim: 3; Não: 1; Abstenção: 0; e Quórum de Votação: 7. Obstrução: 0; e Total de Votantes: 4.";"UNIÃO";"https://dadosabertos.camara.leg.br/api/v2/partidos/38009";"Sim"
"2334096-19";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2334096-19";"CESUBCRE";"Aprovado o Requerimento. Sim: 3; Não: 1; Abstenção: 0; e Quórum de Votação: 7. Obstrução: 0; e Total de Votantes: 4.";"NOVO";"https://dadosabertos.camara.leg.br/api/v2/partidos/37901";"Não"
"2334096-19";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2334096-19";"CESUBCRE";"Aprovado o Requerimento. Sim: 3; Não: 1; Abstenção: 0; e Quórum de Votação: 7. Obstrução: 0; e Total de Votantes: 4.";"Minoria";"";"Não"
"2334096-19";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2334096-19";"CESUBCRE";"Aprovado o Requerimento. Sim: 3; Não: 1; Abstenção: 0; e Quórum de Votação: 7. Obstrução: 0; e Total de Votantes: 4.";"PSB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36832";"Não"
